Id,SalePrice
1461,124684.74
1462,156834.7
1463,181840.46
1464,183413.99
1465,196607.81
1466,182197.94
1467,174232.75
1468,174309.94
1469,189217.52
1470,123077.5
1471,202363.63
1472,93801.5
1473,97575.64
1474,148989.5
1475,113570.24
1476,364899.78
1477,249174.87
1478,297691.68
1479,265365.69
1480,458917.08
1481,338574.17
1482,212105.7
1483,187984.14
1484,168437.06
1485,170386.59
1486,196766.45
1487,350507.57
1488,243273.03
1489,204140.73
1490,203532.29
1491,189932.15
1492,102504.5
1493,182579.2
1494,290488.14
1495,300725.67
1496,220662.78
1497,190788.55
1498,154253.03
1499,152314.68
1500,165193.26
1501,172848.02
1502,148855.37
1503,301779.95
1504,226801.49
1505,215140.4
1506,174536.64
1507,227388.3
1508,197634.26
1509,159558.0
1510,146684.5
1511,147619.5
1512,163449.0
1513,151871.0
1514,169187.48
1515,197509.1
1516,156988.7
1517,154000.09
1518,134334.15
1519,217428.35
1520,135680.09
1521,142436.0
1522,161504.7
1523,123861.17
1524,123763.25
1525,126122.57
1526,129210.51
1527,104578.92
1528,131180.5
1529,144497.09
1530,167448.82
1531,127687.0
1532,108892.5
1533,144737.0
1534,122370.14
1535,162281.09
1536,123189.09
1537,75449.3
1538,173419.18
1539,194816.99
1540,120814.11
1541,147063.57
1542,137540.48
1543,229643.27
1544,79438.61
1545,113161.56
1546,121600.5
1547,138866.45
1548,130829.84
1549,114142.21
1550,140835.37
1551,120773.8
1552,147166.7
1553,150091.37
1554,112880.7
1555,176841.94
1556,94296.82
1557,128586.71
1558,89126.54
1559,117478.48
1560,148763.5
1561,150847.19
1562,125438.97
1563,121525.66
1564,163992.64
1565,151193.22
1566,218409.81
1567,79949.43
1568,220177.4
1569,164343.7
1570,127496.36
1571,129205.75
1572,148591.34
1573,241882.23
1574,122215.92
1575,206853.13
1576,211544.0
1577,198937.65
1578,142308.5
1579,146312.4
1580,187434.8
1581,135580.64
1582,126915.0
1583,342145.84
1584,239688.14
1585,140486.0
1586,74951.22
1587,102136.0
1588,148113.36
1589,116680.22
1590,133199.25
1591,104373.87
1592,133404.96
1593,113769.6
1594,155047.57
1595,128580.5
1596,240434.95
1597,170689.1
1598,176473.49
1599,185059.77
1600,183893.62
1601,77819.16
1602,117878.87
1603,98435.83
1604,282665.4
1605,241624.66
1606,171986.22
1607,166002.69
1608,214471.95
1609,189288.84
1610,161623.55
1611,151310.49
1612,179050.69
1613,173572.0
1614,124491.83
1615,86201.0
1616,83504.0
1617,88525.0
1618,127609.5
1619,130543.82
1620,164876.32
1621,150145.22
1622,143744.34
1623,290588.79
1624,211207.86
1625,132578.57
1626,170118.95
1627,184162.09
1628,269900.19
